id	gdp_2008	gdp_pps_2008	pop_t_2008
DEG04	1012000	971000	41,015
DEG05	1427000	1369000	64,72
DEG06	2061000	1978000	107,924
DEG07	1862000	1787000	91,762
DEG09	2252000	2162000	111,643
DEG0A	1458000	1400000	85,362
DEG0B	2707000	2598000	134,262
DEG0C	3125000	3000000	141,405
DEG0D	1389000	1333000	75,257
DEG0E	1237000	1187000	69,425
DEG0F	2492000	2392000	114,445
DEG0G	1573000	1510000	86,568
DEG0H	1298000	1246000	62,384
DEG0I	2691000	2584000	121,542
DEG0J	1736000	1666000	88,935
DEG0K	1980000	1901000	90,91
DEG0L	1851000	1777000	112,682
DEG0M	1841000	1767000	103,313
DEG0N	998000	958000	43,308
DEG0P	2967000	2848000	135,058
DK011	41092000	29787000	656,582
DK012	28299000	20514000	504,481
DK013	15945000	11558000	441,849
DK014	1365000	989000	42,913
DK021	7732000	5605000	232,459
DK022	18443000	13369000	586,968
DK031	17205000	12472000	482,41
DK032	30386000	22027000	712,249
DK041	18144000	13153000	424,668
DK042	32088000	23261000	812,373
DK050	22784000	16516000	578,839
EE001	9599000	13595000	523,277
EE004	1326000	1879000	161,078
EE006	1016000	1439000	140,267
EE007	1312000	1858000	170,719
EE008	2853000	4041000	345,594
ES111	24409000	26474000	1120,058
ES112	6630000	7191000	347,343
ES113	5811000	6302000	328,804
ES114	19406000	21048000	938,873
ES120	23752000	25762000	1059,136
ES130	13898000	15074000	570,613
ES211	10829000	11746000	306,527
ES212	22156000	24031000	691,839
ES213	34999000	37960000	1140,373
ES220	18492000	20057000	606,234
ES230	8042000	8723000	311,773
ES241	5536000	6004000	220,388
ES242	3730000	4046000	144,904
ES243	24827000	26928000	932,289
ES300	193172000	209518000	6189,297
ES411	3450000	3742000	168,473
ES412	10185000	11047000	363,972
ES413	10600000	11497000	484,082
ES414	4097000	4444000	171,122
ES415	6881000	7463000	347,441
ES416	3802000	4124000	160,134
ES417	2098000	2275000	92,892
ES418	13284000	14408000	518,942
ES419	3769000	4088000	194,802
ES421	6853000	7433000	392,779
ES422	9400000	10196000	511,149
ES423	3857000	4184000	212,993
ES424	4567000	4953000	225,858
ES425	12203000	13236000	634,817
ES431	11353000	12313000	672,029
ES432	6835000	7413000	406,879
ES511	150530000	163268000	5342,884
ES512	19538000	21191000	709,15
ES513	11867000	12871000	420,021
ES514	20889000	22656000	765,996
ES521	36331000	39405000	1838,972
ES522	14110000	15304000	575,349
ES523	55460000	60153000	2478,154
ES531	3182000	3451000	126,491
ES532	21574000	23400000	829,468
ES533	2457000	2665000	89,049
ES611	14321000	15532000	661,795
ES612	22589000	24500000	1198,734
ES613	12923000	14017000	783,186
ES614	15552000	16868000	893,68
ES615	9838000	10670000	496,265
ES616	10146000	11004000	654,354
ES617	28525000	30938000	1528,851
ES618	35117000	38089000	1829,266
ES620	28182000	30567000	1411,623
ES630	1630000	1768000	71,989
ES640	1507000	1635000	69,699
ES703	181000	196000	10,151
ES704	2355000	2554000	93,509
ES705	17691000	19188000	825,334
ES706	394000	427000	22,487
ES707	1396000	1515000	86,177
ES708	3159000	3426000	134,918
ES709	17759000	19262000	868,892
FI131	3971000	3370000	157,862
FI132	7023000	5960000	248,872
FI133	4167000	3536000	166,744
FI134	2058000	1747000	83,779
FI181	65569000	55645000	1388,964
FI182	3594000	3050000	94,755
FI183	15496000	13151000	459,235
FI184	4988000	4233000	171,449
FI185	5579000	4735000	200,061
FI186	5411000	4592000	183,564
FI187	4107000	3486000	134,716
FI193	7897000	6702000	270,701
FI194	5177000	4394000	193,815
FI195	5942000	5043000	174,987
FI196	6864000	5825000	228,431
FI197	16143000	13700000	476,631
FI1A1	2115000	1794000	70,964
FI1A2	12050000	10226000	383,411
FI1A3	5341000	4532000	184,39
FI200	1156000	981000	27,153
FR101	189778000	166874000	2211,297
FR102	34262000	30127000	1303,702
FR103	46559000	40940000	1406,053
FR104	38426000	33788000	1205,85
FR105	124907000	109832000	1549,619
FR106	46871000	41214000	1506,466
FR107	43945000	38642000	1310,876
FR108	33582000	29530000	1165,397
FR211	6315000	5553000	284,197
FR212	7935000	6977000	301,327
FR213	18671000	16417000	566,01
FR214	4453000	3916000	186,47
FR221	11781000	10360000	538,79
FR222	19840000	17445000	799,725
FR223	13900000	12222000	568,086
FR231	13124000	11540000	577,087
FR232	37152000	32668000	1248,58
FR241	7728000	6796000	313,251
FR242	10086000	8869000	423,559
FR243	5274000	4638000	232,004
FR244	15959000	14033000	585,406
FR245	8010000	7044000	326,599
FR246	20154000	17722000	650,769
FR251	17621000	15494000	678,303
FR252	11706000	10293000	496,937
FR253	6659000	5855000	292,282
FR261	16272000	14309000	521,608
FR262	5020000	4414000	220,653
FR263	13685000	12033000	553,968
FR264	8360000	7351000	342,359
FR301	68406000	60151000	2564,959
FR302	31005000	27263000	1459,531
FR411	18531000	16295000	729,768
FR412	4134000	3635000	194,218
FR413	25785000	22673000	1042,23
FR414	8942000	7863000	380,145
FR421	32778000	28822000	1091,015
FR422	19402000	17060000	746,072
FR431	14057000	12361000	522,685
FR432	6194000	5446000	260,74
FR433	4949000	4352000	238,548
FR434	3829000	3367000	141,958
FR511	38509000	33862000	1255,871
FR512	19268000	16943000	774,823
FR513	8102000	7124000	302,983
FR514	14356000	12623000	559,587
FR515	16236000	14276000	616,906
FR521	13439000	11817000	581,57
FR522	23640000	20787000	890,509
FR523	29148000	25630000	967,588
FR524	17430000	15327000	710,034
FR531	9088000	7991000	351,581
FR532	14257000	12536000	611,714
FR533	9874000	8682000	365,059
FR534	10674000	9386000	424,354
FR611	8605000	7567000	409,388
FR612	43433000	38191000	1421,276
FR613	9206000	8095000	373,142
FR614	7404000	6511000	326,399
FR615	18467000	16238000	647,42
FR621	3153000	2772000	150,201
FR622	6654000	5851000	275,889
FR623	41026000	36074000	1217,344
FR624	3881000	3413000	185,266
FR625	3973000	3493000	172,796
FR626	5799000	5099000	229,079
FR627	8106000	7128000	371,738
FR628	5121000	4503000	235,915
FR631	6104000	5367000	242,896
FR632	2491000	2190000	123,907
FR633	9387000	8254000	373,94
FR711	14543000	12788000	581,355
FR712	6412000	5638000	311,452
FR713	13372000	11758000	478,069
FR714	34650000	30468000	1188,66
FR715	18599000	16355000	742,076
FR716	65405000	57512000	1690,498
FR717	13452000	11828000	408,842
FR718	20891000	18369000	716,277
FR721	7994000	7029000	342,807
FR722	3174000	2791000	148,737
FR723	4750000	4176000	221,834
FR724	18014000	15840000	628,485
FR811	7790000	6850000	349,237
FR812	15715000	13819000	694,323
FR813	26490000	23293000	1019,798
FR814	1785000	1570000	76,973
FR815	10050000	8837000	441,387
FR821	3659000	3217000	157,965
FR822	3729000	3279000	134,205
FR823	33370000	29342000	1084,428
FR824	60126000	52870000	1966,005
FR825	25204000	22163000	1001,408
FR826	14176000	12465000	538,902
FR831	3626000	3189000	140,953
FR832	3613000	3177000	162,013
FR910	8747000	7691000	401,784
FR920	8609000	7570000	397,693
FR930	3145000	2765000	219,266
FR940	14544000	12789000	808,25
GR111	2370000	2638000	148,731
GR112	1583000	1762000	106,61
GR113	1514000	1686000	111,2
GR114	1442000	1605000	100,238
GR115	2145000	2388000	139,905
GR121	2401000	2672000	144,185
GR122	23139000	25757000	1144,052
GR123	1549000	1724000	86,086
GR124	2302000	2563000	145,075
GR125	1915000	2132000	128,182
GR126	2349000	2614000	187,831
GR127	1803000	2008000	100,249
GR131	519000	578000	31,345
GR132	1147000	1276000	53,65
GR133	3008000	3349000	154,317
GR134	890000	991000	54,207
GR141	1587000	1767000	115,824
GR142	5221000	5812000	285,845
GR143	4047000	4505000	203,914
GR144	2050000	2282000	130,496
GR211	901000	1003000	70,851
GR212	722000	804000	42,625
GR213	3263000	3633000	181,026
GR214	940000	1046000	57,284
GR221	1031000	1148000	40,293
GR222	2458000	2737000	128,117
GR223	743000	827000	37,935
GR224	414000	461000	22,227
GR231	3214000	3578000	217,697
GR232	6668000	7422000	341,784
GR233	2240000	2493000	179,474
GR241	3929000	4373000	125,309
GR242	4185000	4658000	206,382
GR243	266000	296000	19,492
GR244	3476000	3869000	166,298
GR245	674000	751000	37,588
GR251	1946000	2166000	102,499
GR252	1981000	2206000	88,099
GR253	3279000	3650000	145,968
GR254	1339000	1491000	92,741
GR255	2684000	2988000	164,071
GR300	103334000	115026000	4061,326
GR411	1832000	2039000	105,957
GR412	746000	831000	42,603
GR413	1000000	1114000	51,957
GR421	4794000	5336000	195,098
GR422	3022000	3364000	110,868
GR431	6692000	7449000	299,689
GR432	1657000	1844000	75,411
GR433	1541000	1715000	80,766
GR434	2965000	3300000	150,408
