code;nom;M;Access;IndShimble
TS3120;Medenine Nord;52617;253,075687022901;149,914456692571
TS3121;Medenine Sud;50358;254,464083969466;149,096499318505
TS3233;Douz Nord;26888;260,147519083969;145,839192530955
TS3122;Beni Khedech;26786;268,512595419847;141,295807978075
TS3133;Bir Lahmar;8999;273,004732824427;138,970865924646
TS3235;Faouar;18998;275,496106870229;137,714120729876
TS3134;Ghomrassen;16779;284,012404580153;133,584672747736
TS3234;Douz Sud;18453;301,354160305343;125,897396218773
TS3123;Ben Guerdane;73349;303,768358778626;124,896826893634
TS3131;Tataouine Sud;34129;312,758549618321;121,306689036759
TS3132;Smar;13930;316,561030534351;119,849572318158
TS3130;Tataouine Nord;57651;322,301679389313;117,714881889615
TS3135;Dhehiba;4069;406,751908396947;93,2748029914891
TS3136;Remada;10150;426,507786259542;88,9543059808292
